time,sale,rating
2020-06-14 19:38:12,5,Trudno powiedzieć
2020-06-14 21:12:49,1,Tak
2020-06-14 21:37:29,5,Zdecydowanie tak
2020-06-14 21:39:05,5,Zdecydowanie tak
2020-06-14 21:42:06,1,Raczej nie
2020-06-14 21:42:50,5,Zdecydowanie tak
2020-06-14 21:45:32,1,Tak
2020-06-14 21:48:06,5,Raczej nie
2020-06-14 21:50:28,5,Raczej tak
2020-06-14 22:00:07,5,Tak
2020-06-14 23:50:58,5,Zdecydowanie tak
2020-06-15 05:42:02,3,Zdecydowanie tak
2020-06-15 08:31:59,1,Trudno powiedzieć
2020-06-15 10:00:10,3,Tak
2020-06-15 10:38:28,3,Zdecydowanie tak
2020-06-15 10:53:50,1,Tak
2020-06-15 11:07:23,1,Raczej nie
2020-06-15 11:27:16,3,Tak
2020-06-15 12:11:52,1,Raczej tak
2020-06-15 12:31:07,1,Raczej tak
2020-06-15 13:01:52,1,Zdecydowanie tak
2020-06-15 13:31:10,1,Raczej nie
2020-06-15 13:41:30,1,Tak
2020-06-15 13:43:55,3,Tak
2020-06-15 13:44:40,3,Raczej nie
2020-06-15 13:45:37,3,Zdecydowanie tak
2020-06-15 13:46:22,3,Raczej tak
2020-06-15 13:49:06,1,Zdecydowanie nie
2020-06-15 13:51:34,3,Zdecydowanie tak
2020-06-15 13:57:04,1,Zdecydowanie nie
2020-06-15 13:58:21,3,Raczej tak
2020-06-15 14:02:21,1,Raczej tak
2020-06-15 14:03:37,3,Zdecydowanie tak
2020-06-15 14:05:25,2,Raczej nie
2020-06-15 14:09:02,2,Zdecydowanie tak
2020-06-15 14:09:54,3,Zdecydowanie nie
2020-06-15 14:13:21,1,Zdecydowanie nie
2020-06-15 14:13:51,1,nie
2020-06-15 14:15:18,1,Raczej tak
2020-06-15 14:25:50,3,Zdecydowanie tak
2020-06-15 15:04:02,3,Zdecydowanie tak
2020-06-15 15:18:29,3,Zdecydowanie nie
2020-06-15 15:20:29,3,Raczej tak
2020-06-15 15:27:09,5,Zdecydowanie nie
2020-06-15 16:13:43,2,nie
2020-06-15 17:22:59,1,nie
2020-06-15 17:25:23,4,Zdecydowanie tak
2020-06-15 18:08:11,5,Zdecydowanie nie
2020-06-15 18:26:00,3,Raczej tak
2020-06-15 18:39:59,1,Tak
2020-06-15 19:27:04,1,Zdecydowanie tak
2020-06-15 19:53:19,3,Zdecydowanie nie
2020-06-15 19:55:44,2,Raczej nie
2020-06-15 20:18:56,1,Trudno powiedzieć
2020-06-15 20:39:15,4,Zdecydowanie tak
2020-06-15 21:25:30,2,Zdecydowanie nie
2020-06-15 21:27:00,3,
2020-06-15 22:16:09,1,Raczej nie
2020-06-15 22:51:56,1,Zdecydowanie tak
2020-06-15 23:02:04,5,Zdecydowanie tak
2020-06-15 23:03:32,5,Raczej tak
2020-06-15 23:09:16,2,Zdecydowanie tak
2020-06-15 23:10:26,5,Zdecydowanie tak
2020-06-16 08:05:57,5,Zdecydowanie tak
2020-06-16 10:06:13,3,Zdecydowanie nie
2020-06-16 10:10:51,5,Zdecydowanie tak
2020-06-16 11:03:41,3,Zdecydowanie tak
2020-06-16 11:48:31,1,Zdecydowanie tak
2020-06-16 11:57:57,1,Zdecydowanie tak
2020-06-16 12:06:56,1,Tak
2020-06-16 12:07:15,3,Zdecydowanie tak
2020-06-16 12:43:28,3,Tak
2020-06-16 12:44:40,2,nie
